id,artist_id,title,cover_url,album_type,release_date,created_at
1,1,LoFi Chill Vol.1,https://picsum.photos/id/15/500/500,album,2023-03-20,2023-03-20 10:00:00
2,1,Những Bản Tình Ca Lofi,https://picsum.photos/id/26/500/500,compilation,2023-04-15,2023-04-15 09:30:00
3,3,Em Là Cô Gái Đẹp Nhất,https://picsum.photos/id/28/500/500,EP,2023-03-10,2023-03-10 14:20:00
4,5,Rap Lofi 2023,https://picsum.photos/id/29/500/500,album,2023-03-01,2023-03-01 11:15:00
5,7,Thu Buồn,https://picsum.photos/id/30/500/500,EP,2023-03-05,2023-03-05 16:45:00
6,8,Hoài Niệm,https://picsum.photos/id/31/500/500,album,2023-02-28,2023-02-28 13:00:00
7,10,Chuyện Tình Quê,https://picsum.photos/id/32/500/500,album,2023-02-20,2023-02-20 08:30:00
8,4,Giọng Ca Nội Lực,https://picsum.photos/id/33/500/500,compilation,2023-02-15,2023-02-15 10:00:00
9,10,Duyên Dáng Miền Tây,https://picsum.photos/id/34/500/500,EP,2023-02-10,2023-02-10 15:20:00
10,1,Single Collection 2023,https://picsum.photos/id/35/500/500,single,2023-03-25,2023-03-25 14:00:00
11,7,Lofi Sâu Lắng,https://picsum.photos/id/36/500/500,album,2023-01-20,2023-01-20 14:30:00
12,5,Yamix & Friends,https://picsum.photos/id/37/500/500,compilation,2023-01-15,2023-01-15 11:00:00
13,3,The Best of F47,https://picsum.photos/id/38/500/500,compilation,2023-01-10,2023-01-10 16:00:00
14,4,Thanh Tuyền Collection,https://picsum.photos/id/39/500/500,compilation,2022-12-20,2022-12-20 10:30:00
15,2,Gửi Người Thương,https://picsum.photos/id/40/500/500,EP,2023-02-18,2023-02-18 13:45:00
